details,date,description,man_hours,type,location_name,grid_ref
Incident Report #91 2021,"Sunday, 28 November, 2021 - 18:22",A woman and her mother got stuck in snow and ice when their car slid off the road. The team were attending when we were notifies that they'd managed to free the car and get down without further assistance,3 team members for 2 hours,Road traffic incident,Wrynose Pass,NY281030
Incident Report #90 2021,"Sunday, 28 November, 2021 - 15:37","A woman drove her elderly mother rover Wrynose Pass in winter conditions and got stuck in the snow

 

We recovered them both",3 team members for 2 hours,Road traffic incident,Wrynose Pass,NY276027
Incident Report #89 2021,"Saturday, 27 November, 2021 - 20:49","A man got stuck on The Struggle in snow and ice. The team was on-route to recover him when he was rescued by a passing farmer

 

We were able to stand down",4 team members for 1 hour,Local Incident,kirkstone pass,NY395070
Incident Report #88 2021,"Saturday, 27 November, 2021 - 10:29","Two people were reported overdue having stated they were camping on Side Pike, but were struggling in snow and high winds. They were located on Side Pike",6 team members for 2 hours,Fellwalking,Side Pike,NY290052
Incident Report #87 2021,"Saturday, 27 November, 2021 - 00:30","Five students attempting to reach Eskdale but got stuck on snow and ice on Wrynose Pass. Access was made extra difficult by fallen trees caused by Storm Arwen, but we eventually managed to get to them and recover them to Ambleside",3 team members for 3.5 hours,Local Incident,Wrynose Pass,NY280029
Incident Report #86 2021,"Friday, 26 November, 2021 - 23:58",A number of cars and occupants became stranded on Kirkstone Pass in snow and high winds. We recovered the people to Ambleside,7 team members for 2.5 hours,Local Incident,kirkstone pass,NY401080
Incident Report #85 2021,"Friday, 26 November, 2021 - 22:46","With Storm Arwen in full flow we were requested to assist the Fire Service with treating and evacuating a young man who had been hit by a fallen tree, sustaining a fractured femur and skull. It was proving difficult to get an ambulance crew to him because of fallen trees, so we assisted a BASICS doctor with his treatment and evacuation once the Fire Service had cut the tree away from him",9 team members for 2 hours,Local,Ambleside,NY373039
Incident Report #84 2021,"Tuesday, 23 November, 2021 - 13:00",A man was having a bit of a hard time and contacted his friend to say he was considering harming himself. He was located and we sat in the sun with him for a while before he agreed to come down with us,13 team members for 2 hours,Fellwalking/local incident,kirkstone pass,NY398081
Incident Report #83 2021,"Sunday, 14 November, 2021 - 16:48",A man reported that hi dog had fallen some considerable distance and sustained a number of injuries including a broken leg. The team attended to evacuate the dog but the man made good progress carrying it on his own and arrived at the car park as we did. We were able to refer him to a vet and stand down,8 team members for 1.5 hours,Rock Scrambling,Jack's Rake,NY285079
Incident Report #82 2021,"Monday, 1 November, 2021 - 15:03","A woman suffered a leg injury when she slipped while descending Wansfell

 

She was treated by the team and evacuated by stretcher",10 team members for 2 hours,Fellwalking,Wansfell,NY398041
Incident Report #81 2021,"Sunday, 31 October, 2021 - 18:30","A couple became separated from their friends while descending under direction of Patterdale MRT. They were located and escorted off

 

Their initial request for evacuation by air ambulance was never going to happen",5 team members for 4 hours,Fellwalking,Heron Pike/Great Rigg,NY365090
Incident Report #80 2021,"Sunday, 31 October, 2021 - 17:35",Two people became stuck when it went dark. They were located and escorted off,7 team members for 4.5 hours,Fellwalking,Dove Crag,NY375100
Incident Report #79 2021,"Thursday, 28 October, 2021 - 10:25",We were requested to assist NWAS with a number of incidents where paramedics were struggling to reach patients due to extensive flooding in the area,2 team members for 3 hours,Local Incident,Ambleside,NY377035
Incident Report #78 2021,"Sunday, 24 October, 2021 - 12:05",Walkers reported hearing whistles from the hillside near Spout Crag. We investigated and learned that the farmer was calling his pheasants for lunch,2 team members for 2 hours,Local Incident,Spout Crag,NY300061
Incident Report #77 2021,"Thursday, 21 October, 2021 - 15:15",A woman sustained an ankle injury when she slipped. She was treated by team members and evacuated by stretcher,12 team members for 2.25 hours,Fellwalking,Meg's Ghyll,NY324062
Incident Report #76 2021,"Thursday, 21 October, 2021 - 08:55",We were requested to search the area around a single vehicle RTC on Wrynose Pass. The driver was missing and there was concern for his safety,"11 team members for 3,25 hours plus Lake District Mountain Search Dog",RTC,Wrynose Pass,NY2893303165
Incident Report #75 2021,"Saturday, 16 October, 2021 - 15:16",A woman sustained an ankle fracture between Dove Crag and High Pike. She was treated and evacuated ,14 team members for 3.25 hours plus Kendal MRT,Fellwalking,Dove Crag/High Pike,NY373095
Incident Report #74 2021,"Saturday, 16 October, 2021 - 13:15",A woman suffered a lower leg fracture near Wansfell summit. She was treated by team members and evacuated by stretcher,13 team members for 2 hours,Fellwalking,Wansfell,NY403050
Incident Report #73 2021,"Friday, 15 October, 2021 - 23:11",A woman was reported in difficulty near Grasmere weir. The team responded to help but the woman was located by police,5 team members for 1 hour,Local Incident,Grasmere,NY342058
Incident Report #72 2021,"Friday, 15 October, 2021 - 14:53",Walkers reported seeing two paragliders crash. We investigated but no injured fliers were found,5 team members for 2.5 hours,NA,Gimmer Crag,NY289078
Incident Report #71 2021,"Friday, 8 October, 2021 - 15:15",a woman slipped and sustained an ankle injury. She was treated and evacuated,10 team members for 3 hours,Fellwalking,Browney Ghyll,NY267047
Incident Report #70 2021,"Friday, 8 October, 2021 - 11:55","A man was reported as collapsed with CPR in progress. Despite efforts by bystanders, air ambulance and the team, the man was declared to have died at the scene. He was recovered from the fell",10 team members for 2.75 hours,Fellwalking,Park Fell,NY432089
Incident Report #69 2021,"Tuesday, 5 October, 2021 - 10:00",The team assisted Duddon and Furness MRT along with other LDSAMRA teams with an extended search for a missing teenage male. We were tasked to search Cathedral Cave in Little Langdale and having completed this we were returning to base when we were flagged down by a member of the public who had located the young man and was looking to return him to safety,"5 team members for 4 hours, 1 team member for 6 hours",Fellwalking/local incident,Little Langdale,NY330031
Incident Report #68 2021,"Saturday, 2 October, 2021 - 13:52",A woman suffered a suspected fracture/dislocation of her ankle when she slipped on very wet ground,15 team members for 2 hours,Fellwalking,Rydal Cave,NY353058
Incident Report #67 2021,"Sunday, 26 September, 2021 - 01:40",We assisted NWAS in recovering a male who had injured his neck when he fell down a drainage culvert,9 team members for 2 hours,Local Incident,Ambleside,NY379050
Incident Report #66 2021,"Tuesday, 21 September, 2021 - 20:03",While incident 65 was still ongoing we had to muster a few more team members to recover three benighted. They were located and escorted off,4 team members for 2.5 hours,Fellwalking,Brock Crag,NY375071
Incident Report #65 2021,"Tuesday, 21 September, 2021 - 16:55","A climber took a fall, sustaining a lower leg injury. She was treated by team members and then recovered from the crg and stretchered off",13 team members for 4.5 hours,Rock climbing,Upper Scout Crag,NY298068
Incident Report #64 2021,"Saturday, 18 September, 2021 - 18:04",A man heading up Stake Pass to camp became unwell and hypoglyceamic. He was treated and escorted back to the valley floor,6 team members for 4 hours,Fellwalking,Stake Pass,NY259081
Incident Report #63 2021,"Saturday, 11 September, 2021 - 15:11",A woman tumbled and sustained a head injury. She was treated by air ambulance paramedics and team members and airlifted to hospital,"10 team members, plus RAF Leeming MRT",Fellwalking,Side Pike,NY29360526
Incident Report #62 2021,"Saturday, 4 September, 2021 - 11:18",A man suffered a suspected ankle fracture when he tripped. He was treated by the team and evacuated by stretcher with help from Kendal MRT. It's a long way down!,11 team members for 6 hours plus Kendal MRT,Fellwalking,Langdale Combe,NY275074
Incident Report #61 2021,"Friday, 3 September, 2021 - 12:58",A man reported himself lost on Crinkle Crags. He was located via SARLOC and was being talked off by a Deputy Leader when he encountered other walkers who were able to assist him back to the valley,1 team member for 2 hours,Fellwalking,Crinkle Crags,NY245050
Incident Report #60 2021,"Friday, 3 September, 2021 - 01:30",A man reported seeing 'flares' in the vicinity of Crinkle Crags. An investigation revealed nothing of concern,2 team members for 1 hour,flares,Crinkle Crags,NY277027
Incident Report #59 2021,"Thursday, 2 September, 2021 - 16:58",A woman sustained an ankle injury on the path to Stickle Tarn. She was treated by team members and evacuated by stretcher,10 team members fo r2.5 hours,Fellwalking,Stickle Tarn path,NY290070
Incident Report #58 2021,"Monday, 30 August, 2021 - 13:45",A male sustained an ankle injury on Gibson Knott. He was treated by team members and evacuated to the valley,12 team members for 3.5 hours,Fellwalking,Gibson Knott,NY319099
Incident Report #57 2021,"Saturday, 28 August, 2021 - 15:11","A woman took a 5m fall while climbing, sustaining face, head, neck and back injuries. A Coastguard helicopter was requested to assist and their paramedic along with team members worked to stabilise the woman on the ledge she had landed on before she was eventually lifted off and flown to hospital",13 team members for 6 hours,Rock climbing,Gimmer Crag,NY277069
Incident Report #56 2021,"Wednesday, 25 August, 2021 - 22:16","Flashing lights were reported from Side Pike by people walking on the road below. 

A team member investigated but found nothing of concern",1 team member for 1.5 hours,flashing lights,Side Pike,NY293953
Incident Report #55 2021,"Wednesday, 25 August, 2021 - 12:20",A woman sustained a nasty gash to her head when she took a tumble while walking on the Coffin Route. She was treated by team members and evacuated to an ambulance waiting at the roadside,10 team members for 2 hours,Fellwalking,Coffin Route,NY353067
Incident Report #54 2021,"Thursday, 19 August, 2021 - 15:22",Two people lost their way and became cragfast on steep ground at Tarn Crag above Easedale Tarn. They were located via SARLOC and recovered to the valley floor ,7 team members for 3 hours,Fellwalking,Tarn Crag,NY303093
Incident Report #53 2021,"Sunday, 15 August, 2021 - 15:56","A woman sustained a suspected ankle fracture when she slipped

She was treated and evacuated by the team",15 team members for 4.5 hours,Fellwalking,Earring Crag,NY250062
Incident Report #52 2021,"Saturday, 7 August, 2021 - 17:32","A female walker suffered breathing difficulties while descending.

 

Her friends called for help. She was treated by team members and evacuated ",9 team members for 1.5 hours,Fellwalking,Jenkin's Crag,NY383029
Incident Report #51 2021,"Monday, 26 July, 2021 - 17:46","A man took a fall near Three Tarns, sustaining a serious head injury. We requested helicopter assistance and Great North Air Ambulance were able to attend. The man was stabilised and transferred to the helicopter, then flown to hospital",12 team members for 4 hours,Fellwalking,Three Tarns,NY248061
Incident Report #50 2021,"Monday, 26 July, 2021 - 13:47",A man suffered a leg injury when he slipped and was unable to continue. He was treated and evacuated by the team,13 team members for 2.25 hours,Fellwalking,Moment Crag,NY309104
Incident Report #49 2021,"Sunday, 25 July, 2021 - 10:53",A woman became unwell while ascending Loughrigg. She was treated by team members and assisted from the fell and referred to her GP,12 team members for 1.25,Fellwalking,Loughrigg,NY343055
Incident Report #48 2021,"Thursday, 22 July, 2021 - 22:53","A dropped call to NWAS suggested that someone was in difficulty in the water at Blea Tarn. We attended along with Fire and Rescue, Police and NWAS. A search of the area revealed nothing, and we were able to stand down when a call was received confirming that the person we were looking for was on the way to hospital in a car",16 team members for 1.5 hours,Local Incident,Blea Tarn,NY293042
Incident Report #47 2021,"Sunday, 18 July, 2021 - 17:39",A woman was reported with a lower leg injury. She was treated and recovered by the team,16 team members for 2 hours,Fellwalking,Sour Milk Ghyll,NY318086
Incident Report #46 2021,"Friday, 16 July, 2021 - 15:14",A woman sustained an ankle injury when she slipped. She was treated by team members and evacuated to an ambulance,13 team members for 2 hours,Fellwalking,Loughrigg,NY352046
Incident Report #45 2021,"Thursday, 15 July, 2021 - 15:44","A male with a history of cardiac events was reported as suffering from dehydration and exhaustion near Bright Beck. The team was mobilised but because of the nature of the problem an air ambulance was requested to assist.

The casualty was airlifted to hospital and the team returned. It was a very hot day",NA,Fellwalking,Bright Beck,NY289079
Incident Report #44 2021,"Monday, 12 July, 2021 - 16:24",A woman sustained a lower leg injury when she slipped. She was treated by team members and evacuated by stretcher,12 team members for 4 hours,Fellwalking,High Pike,NY384087
Incident Report #43 2021,"Friday, 9 July, 2021 - 12:13",A woman fell and sustained a head injury. She was treated by team members and evacuated by stretcher,12 team members for 2.75 hours,Fellwalking,Kellbarrow,NY326063
Incident Report #42 2021,"Wednesday, 7 July, 2021 - 18:22",A woman sustained an ankle injury. She was treated by team members and evacuated by air ambulance,13 team members for 3.5 hours,Fellwalking,Far Easedale,NY298085
Incident Report #41 2021,"Thursday, 1 July, 2021 - 16:19","A woman became cragfast when crossing Meg's Ghyll. She was recovered, uninjured, by the team",10 team members for 2.5 hours,Fellwalking,Meg's Ghyll,NY323060
Incident Report #40 2021,"Monday, 28 June, 2021 - 19:41",A female took a tumble when her wheelchair slipped off the edge of a path. She sustained multiple cuts and bruises. She was extracted and handed over to ambulance crew for ongoing transport,11 team members for 2.5 hours,Local Incident,Bowness,SD420975
Incident Report #39 2021,"Monday, 28 June, 2021 - 16:40","A male sustained a lower leg injury. Luckily he was airlifted off before we got there, sparing us a long, hot carry ",13 team members for 2 hours,Fellwalking,Thunacar Knott,NY279078
Incident Report #38 2021,"Monday, 21 June, 2021 - 17:38","A young male sustained a dislocated ankle 

 

He was treated by team members and evacuated by stretcher",11 team members for 3 hours,Fellwalking,Stake Pass,NY260077
Incident Report #37 2021,"Sunday, 20 June, 2021 - 19:40","A young child was reported separated from his family group and missing near Whorneyside Force.

 

The team was responding to search for him when he turned up",7 team members for 1 hour,Fellwalking,Whorneyside Force,NY260054
Incident Report #36 2021,"Wednesday, 16 June, 2021 - 15:23",A man sustained a dislocated shoulder when he fell while walking. He was assisted by a group of passersby and then treated and evacuated by stretcher,15 team members for 4 hours,Fellwalking,Stickle Tarn,NY289078
Incident Report #35 2021,"Tuesday, 15 June, 2021 - 13:46",A man suffered a hip and leg injury in a fall on Troutbeck Tongue. He was treated and evacuated by the team,9 team members for 2.5 hours,Fellwalking,Troutbeck Tongue,NY422061
Incident Report #34 2021,"Monday, 14 June, 2021 - 13:25","A man fell and sustained a head injury. The team responded along with an air ambulance. The air ambulance was able to evacuate the man before we arrived, but the team assisted the man's partner down",9 team members for 2 hours,Fellwalking,Easedale Tarn,NY310087
Incident Report #33 2021,"Sunday, 6 June, 2021 - 11:46",A young male was reported as semi-conscious and coughing blood on a path near Buckstones Jump. He was treated by team members and evacuated by stretcher to a waiting ambulance ,14 team members for 2 hours,NA,Rydal,NY367074
Incident Report #32 2021,"Friday, 4 June, 2021 - 15:04",We rescued a woman with a suspected fractured ankle,NA,Fellwalking,Helm Crag,NY327086
Incident Report #31 2021,"Thursday, 3 June, 2021 - 16:17",Reports of whistle blasts in the vicinity of Stickle Tarn came to police. We investigated but found nothing,2 team members for 2 hours,Felllwalking,Stickle Tarn,NY287075
Incident Report #30 2021,"Monday, 31 May, 2021 - 10:15",A woman was reported shouting for help. She had sustained a head injury and had abdominal pain. She was treated by team members and evacuated by air ambulance,15 team members for 1.5 hours,Fellwalking,Coffin Route,NY356066
Incident Report #29 2021,"Monday, 31 May, 2021 - 05:45","An early start when a photographer trying to catch the early morning mist fell off the small crag he was standing on. He sustained an injury to his shoulder 

 

He was treated by the team and evacuated to an ambulance waiting on the road",11 team members for 1.5 hours,Photographer,Wrynose Pass,NY282031
Incident Report #28 2021,"Sunday, 30 May, 2021 - 18:49","A woman reported that she was struggling down from Three Tarns with her injured dog. With the team still committed to Harrison Stickle, we contacted Kendal MRT, who kindly took the job on for us",Handled by Kendal MRT,NA,Three Tarns,NY248061
Incident Report #27 2021,"Sunday, 30 May, 2021 - 17:45","A young male became stuck in a bog and was unable to get out. 

 

With many of the team committed to the ongoing rescue a couple of team members were mustered to attend. The man was assisted out of the bog by two passers-by while they were on route and the team members were able to stand down",2 team members fo r1 hou,Fellwalking,Todd Crag,NY366040
Incident Report #26 2021,"Sunday, 30 May, 2021 - 15:30","A male parascender crashed into the side of Harrison Stickle, sustaining suspected spinal injuries. He was treated by team members, air ambulance paramedics and the Coastguard helicopter paramedic and evacuated to Newcastle",11 team members for 5.5 hoursNY,Parascending,Harrison Stickle,NY282072
Incident Report #25 2021,"Sunday, 30 May, 2021 - 13:27",A male was found fitting on the Grasmere lake shore path. He was treated by paramedics and evacuated by team members,11 team members for 1.5 hours,Local Incident,Grasmere Lake shore,NY333063
Incident Report #24 2021,"Friday, 28 May, 2021 - 12:39",A woman suffered a collapse while walking. She was treated and evacuated by the team,7 team members for 1 hour,Fellwalking,How Head,NY363045
Incident Report #23 2021,"Tuesday, 25 May, 2021 - 19:40","Two men were unable to continue when they descended in to the Upper Esk by mistake.

 

In a joint operation with Wasdale MRT, they were recovered and returned to Langdale","4 team members for 7 hours, plus Wasdale MRT",Fellwalking,Eskdale,NY231076
Incident Report #22 2021,"Monday, 24 May, 2021 - 14:43",A woman slipped on steep muddy ground and sustained injuries to her shoulder and leg. She was treated by team members and evacuated by stretcher,12 team members for 2 hours,Fellwalking,Stock Ghyll,NY382047
Incident Report #21 2021,"Sunday, 23 May, 2021 - 15:19",A walker sustained an ankle injury when she slipped. She was treated by team members and evacuated to the valley,"10 team members for 3 hours, plus RAF Leeming MRT",Fellwalking,Heron Pike,NY355080
Incident Report #20 2021,"Saturday, 22 May, 2021 - 22:27","Two people became separated from the rest of their group on Crinkle Crags. They were inadequately equipped to navigate their way off, especially as it was going dark. They were located and escorted off by team members",4 team members for 5 hours,Fellwalking,Crinkle Crags,NY248048
Incident Report #19 2021,"Saturday, 22 May, 2021 - 15:58",A competitor in a fell race sustained a suspected lower leg fracture when she slipped. She was treated and evacuated by the team,"16 team members for 2,25 hours",Fellrunning,Low Pike,NY374074
Incident Report #18 2021,"Thursday, 20 May, 2021 - 13:42",A group of five elderly walkers were recovered having succumbed to hypothermia when forecast poor weather struck. They were assisted to the valley bottom with help from the team and a local farmer,13 team members for 3.5 hours,Fellwalking,Troutbeck,NY426100
Incident Report #17 2021,"Sunday, 16 May, 2021 - 15:11",A walker injured his ankle. He was unable to raise the alarm due to lack of mobile signal so his friend went to the nearest farmhouse for help. The team was responding when we were contacted to say that the man had been assisted from the hill by other people and was now in his car.,14 team members for 1 hour,Fellwallking,Oxendale,NY271053
Incident Report #16 2021,"Sunday, 2 May, 2021 - 21:10","A young male jumped from a bridge in Ambleside and broke his ankle 

 

We were joined by Cumbria Fire and Rescue Service, Ambulance and Police to resolve this",10 team members for 2 hours,Local Incident,Ambleside,NY376046
Incident Report #15 2021,"Monday, 26 April, 2021 - 11:49",A man was reported as collapsed and drifting in and out of consciousness. He was attended by the team. Given his reported condition an air ambulance was requested to assist. He was assessed by their doctor and then stretchered to a waiting land ambulance,10 team members for 2.25 hours,Fellwalking,Nab Scar,NY360070
Incident Report #14 2021,"Sunday, 25 April, 2021 - 15:07",A woman sustained an lower leg injury. She was treated and evacuated by the team,15 team members for 2 hours,Fellwalking,Alcock Tarn,NY347074
Incident Report #13 2021,"Saturday, 24 April, 2021 - 11:57",A woman sustained an ankle injury on the shore of Rydal Water. She was treated and evacuated to a waiting ambulance,16 team members for 1.5 hours,Fellwalking,Rydal Lake shore,NY358060
Incident Report #12 2021,"Wednesday, 21 April, 2021 - 10:50",A man sustained a foot/ankle injury while walking on Lingmoor. He was treated and evacuated by stretcher,14 team members for 3.5 hours,Fellwalking,Lingmoor,NY298050
Incident Report #11 2021,"Friday, 16 April, 2021 - 15:24",The team was asked to assist a woman who had sustained a fracture dislocated ankle near Grasmere Weir. We attended along with the air ambulance,14 team members for 1 hour,Fellwalking,Grasmere weir,Ny344060
Incident Report #10 2021,"Thursday, 15 April, 2021 - 13:44","A group of three became cragfast on Jack's Rake when they took a wrong turn. The team was mobilised to assist them and was en-route when the managed to downclimb and get back on the correct route and make it out

The team was able to stand down",11 team members for 1.75 hours,Rock Scrambling,Jack's Rake,NY2846307866
Incident Report #9 2021,"Wednesday, 14 April, 2021 - 20:45","The team was made aware of a male who had wandered into Eskdale while trying to find his way back from Scafell to Langdale. He was initially given advice by a Wasdale MRT team leader before passing the monitoring of his progress over to LAMRT 

He was sheltered overnight by an ML group who were camping overnight and finally pointed in the right direction to get off the hill

 

 ",1 team member for 9 hours,Fellwalking,Scafell,NY236074
Incident Report #8 2021,"Saturday, 13 March, 2021 - 15:25",One of a party of two slipped on wet snow and sustained an ankle injury. After some initial confusion over their location he was treated and evacuated ,13 team members for 5 hours,Fellwalking,Nab Scar,NY360069
Incident Report #7 2021,"Saturday, 6 February, 2021 - 03:30",We were requested to assist Patterdale MRT when a member of their team was injured during a rescue,7 team members for 4.5 hours,Mountain Rescue Incident,Red Screes,NY398083
Incident Report #6 2021,"Sunday, 17 January, 2021 - 14:16",A woman slipped on the summit of Wansfell and sustained an ankle injury. She was treated by team members and evacuated by stretcher,10 team members for 1.75 hours,Fellwalking (winter),Wansfell,NY3947004200
Incident Report #5 2021,"Saturday, 9 January, 2021 - 15:43","Two adventurers attempted to climb the snow covered face of Harrison Stickle. Inadequately equipped, they got stuck and called for help. The team set off to recover them but they contacted us to say they'd managed to get back on to safe ground themselves

We left them to it",18 team members for 1.5 hours,Scrambling,Harrison Stickle face,NY2827007330
Incident Report #4 2021,"Friday, 8 January, 2021 - 09:30",We were requested to assist two care workers access a remote property when snow and ice made road conditions difficult ,2 team members for 1.5 hours,Local Incident,Ambleside,NY377046
Incident Report #3 2021,"Wednesday, 6 January, 2021 - 16:47","A young woman reported that she was unable to locate a way down from Blea Rigg as darkness approached. Two team members were mobilised to retrieve her, but were able to stand down when she reported tha shed found the dam at Stickle Tarn and could find her way from there",3 team members for 1 hour,NA,NA,NY288075
Incident Report #2 2021,"Sunday, 3 January, 2021 - 14:09",A man fell from a tree while working and sustained back injuries. He was treated and transferred to an air ambulance,11 team members for 3 hours,occupational,Troutbeck,NY405013
Incident Report #1 2021,"Saturday, 2 January, 2021 - 13:27","A woman sustained an ankle injury when she slipped on frozen ground, She was treated and evacuated by stretcher",14 team members for 2.5 hours,Fellwalking (winter),Bracken Hause,NY322068
Incident Report #82 2022,"Sunday, 25 December, 2022 - 12:05","The team were called to a person who had suffered a cardiac arrest at Buckstones Jump. We attended along with a Coastgurad helicopter, an North West Air Ambulance having aborted due to the weather conditions. The casualty was treated, placed on our Autopulse device and airlifted to West Cumberland Infirmary. Sadly they were declared to have died at the hospital.

Our best wishes are extended to all involved and thanks to all who assisted including NWAS, Cumbria Police, HM Coastguard and team members who attended",12 team members for 3.5 hours,Fellwalking,Buckstones Jump,NY3666077
Incident Report #81 2022,"Saturday, 10 December, 2022 - 10:54",The three occupants of a car attempted to drive over Wrynose Pass in snow and ice conditions. They failed. We recovered them,5 team members for 2 hours,Road traffic incident,Wrynose Pass,NY284032
Incident Report #80 2022,"Friday, 2 December, 2022 - 13:06",A woman tumbled on steep ground and sustained a head injury and fractured wrist. She was treated and evacuated,15team members for 1.5 hours,Fellwalking,Coffin Route,NY351067
Incident Report #79 2022,"Saturday, 26 November, 2022 - 15:12","A man took a tumble and sustained facial injuries. A tricky evacuation while trying to maintain the man's airway ensued, He was evacuated to below the cloud base and then transferred to a helicopter ",15 team members for 6 hours,Fellwalking,Pavey Ark,NY28600808
Incident Report #78 2022,"Tuesday, 22 November, 2022 - 18:09",A benighted and lost male was retrieved ,3 team members for 2 hours,Fellwalking,High Brock Crag,NY374072
Incident Report #77 2022,"Sunday, 20 November, 2022 - 13:52",A woman sustained a lower leg injury when she slipped. She was treated and ecavuated,15 team members for 5 hours,Fellwalking,Harrison Stickle,NY28140764
Incident Report #76 2022,"Saturday, 19 November, 2022 - 13:14",A woman went over on her ankle sustaining a suspected fracture. She was treated and evacuated,"14 team members for 1,75 hours",NA,Orrest Head,SD414997
Incident Report #75 2022,"Saturday, 12 November, 2022 - 15:10",We recovered a woman who had sustained a head injury,13 team members for 1.5 hours,Local,Millerground,SD402988
Incident Report #74 2022,"Saturday, 12 November, 2022 - 13:40","A woman slipped and fell, sustaining a knee injury. She was treated and evacuated",13 team members for 1.5 hours,Fellwalking,Rydal Cave,NY354057
Incident Report #73 2022,"Tuesday, 1 November, 2022 - 10:30",A group of 5 people became cragfast and cold while attempting to ascend Dungeon Ghyll. They were all recovered to safe ground and assisted down,10 team members for 3.5 hours,Scrambling,Dungeon Ghyll,NY287068
Incident Report #72 2022,"Tuesday, 25 October, 2022 - 15:06",A woman sustained a fracture to her wrist when she slipped. She was treated by the team and evacuated,13 team members for 2.5 hours,Fellwalking,Wansfell,NY392042
Incident Report #71 2022,"Thursday, 13 October, 2022 - 12:54",A woman was reported as fainted and fitting near Stickle Tarn. She was evacuated by the team,10 team members for 1.5 hours,Fellwalking,Stickle Tarn,NY2920661
Incident Report #70 2022,"Tuesday, 11 October, 2022 - 17:37",A 78-year0ld man suffered a knee injury that required our help to get him of the fell,10 team members for 3 hours,Fellwalking,Brant Fell,SD407959
Incident Report #69 2022,"Saturday, 8 October, 2022 - 15:23","We were requested to assist a male who had sustained a head injury at Scout Crag, Great Langdale. We responded but ultimately not required since he was assisted to the roadside and an ambulance by colleagues",14 team members for 1 hour,Rock climbing,Scout Crag,NY298066
Incident Report #68 2022,"Sunday, 25 September, 2022 - 13:36","A 30-year-old male sustained an arm fracture

He was assisted down",16 team members for 2 hours,Fellwalking,Stone Arthur,NY352098
Incident Report #67 2022,"Saturday, 17 September, 2022 - 13:43",A man was reported as collapsed near the Climber's Traverse on Bowfell. The team responded. The man staged something of a recovery and we ended up escorting him down under his own steam,"12 team members for 3.5 hours, plus 2 members of Cockermouth MRT",Fellwalking,Bowfell,NY247062
Incident Report #66 2022,"Tuesday, 6 September, 2022 - 20:05","A woman sustained a back sprain which caused them to make very slow process, subsequently becoming benighted.

 

They were located and assisted down.

 

We were assisted by Kendal MRT","12 team members for 4 hours, plus Kendal MRT",Fellwalking,Far Easedale,NY305098
Incident Report #65 2022,"Sunday, 21 August, 2022 - 12:51",A man fell from a tree. He was treated by NWAS paramedics and evacuated by the team,8 team members for 1.5 hours,Local Incident,Wray Castle,NY376008
Incident Report #64 2022,"Tuesday, 16 August, 2022 - 18:57","A woman was unable to continue when she suffered knee pain

 

She was evacuated by stretcher",8 team members for 2 hours plus Kendal MRT,Fellwalking,Sour Milk Ghyll,NY317088
Incident Report #63 2022,"Tuesday, 16 August, 2022 - 16:06","We were asked to assist NWAS with the evacuation of a 14-year-old girl found intoxicated and unconscious 

 

We were stood down while on route when the incident was resolved",11 team members for 0.5 hours,Local,Miller Ground,SD401984
Incident Report #62 2022,"Tuesday, 16 August, 2022 - 14:20","An elderly female sustained a wrist injury when she fell while descending Sour Milk Ghyll

 

She was treated by team members and evacuated",10 team members for 2 hours,Fellwalking,Sour Milk Ghyll,NY318086
Incident Report #61 2022,"Monday, 8 August, 2022 - 14:22",A woman sustained a difficult shoulder injury. She was treated by team members and evacuated to a waiting air ambulance lower down the hill with help from Kendal MRT,"10 team members for 4.5 hours, plus Kendal MRT",Fellwalking,Rossett Ghyll,NY251072
Incident Report #60 2022,"Friday, 5 August, 2022 - 13:37",A woman sustained a difficult wrist fracture while descending Stickle Ghyll. She was treated and evacuated by stretcher,10 team members for 2 hours,Fellwalking,Stickle Ghyll,NY291068
Incident Report #59 2022,"Friday, 29 July, 2022 - 16:16",A male slipped and sustained a shoulder injury> he was treated by team members and evacuated,11 team members for 2 hours,Fellwalking,Stock Ghyll,NY383046
Incident Report #58 2022,"Thursday, 28 July, 2022 - 19:53","Three young men lost their way trying to descend from Bowfell, ending up cold and wet at Gaitsgail Gill. They were located via SARLOC and escorted from the hill",18 team members for 4.5 hours,Fellwalking,Gaitsgail Gill,NY246042
Incident Report #57 2022,"Monday, 25 July, 2022 - 11:08","We were requested to assist NWAS with a report of an unconscious male in woodland in Bowness. He was located conscious and in the care of his girlfriend. 

 ",10 team members for 1.5 hours,Local Incident,Rayrigg Wood,SD406976
Incident Report #56 2022,"Friday, 22 July, 2022 - 17:34","We joined Kendal MRT on Thornthwaite Beacon to rescue a fellrunner with a lower leg injury.

Splint applied, pain dealt with, stretcher off... you know the story... ","5 team members for 5 hours, plus Kendal MRT",Fellrunning,Thornthwaite Beacon,NY433096
Incident Report #55 2022,"Sunday, 17 July, 2022 - 09:08","The team were called by NWAS to an incident at Angle Tarn. Details were vague but with one casualty injured and having difficulty breathing and a second unaccounted for, we requested the assistance of the Coastguard. Great North Air Ambulance also mobilised. They were able to get close to the anticipated casualty site fairly quickly. They were unable to locate any injured persons. Simultaneously we finally managed to make phone contact with the informant, who revealed that the actual location was Angle Tarn, Patterdale.",7 team members fo r1 hour,Wild camping,Angle Tarn,NY417140
