title,date,loc,gridref,incident
Dog Triggers Search,2014-03-08,"Priest's Hole, Dovedale",NY 37571 10996,"The team were called after the Police received reports of a distressed dog seen in the vicinity of Priest's Hole.  In order to exclude the possibility that it's owner had come to harm 7 team members ascended Dovedale and searched the traverse to the cave, the foot of the crag and the path up to the hause between Hart Crag and Dove Crag.  No sign of either the dog or its owner was found."
84 Year old feeling faint and unwell,2014-03-27,Auterstone Crag,NY 45939 21333,At 13:00 today Thursday 27th March Patterdale Mountain Rescue Team were called by the Police to go to the aid of an 84 year old gentlemen from North Wales who was feeling faint and unwell whilst out walking with his son in the Auterstone Crag area above Ullswater.The Great North Air Ambulance was in attendance along with Penrith Mountain Rescue Team.The gentlemen was stretchered off the fell to the waiting Air Ambulance and taken to Cumberland Infirmary.7 Patterdale Team members and 3 Penrith Team members took 2 hours to complete the call out.
Man Injures Ankle descending from Birkhouse Moor,2014-03-29,Birkhouse Moor,NY 37347 16855,Patterdale Mountain Rescue Team were called to assist a 34 year old man from York who had slipped whilst descending the path from Birkhouse Moor to Glenridding.He had been walking with friends and had nearly finished the route when he tripped and injured his ankle.He was found by an ex-Patterdale Mountain Rescue Team member who reassured the casualty and called the Police. The casualty was then treated at the scene before being stretchered from the fell.The team transported him by Landrover to the rescue centre where he was then transferred to an Ambulance and taken to Carlisle for further treatment.10 team members were involved for two hours.
Wet Farmer and his Dog!,2014-03-05,Devils Chimney Ullswater,NY 39369 17778,"Today, Wednesday 5th March at approximately 17.20 Patterdale Mountain Rescue Team were called by the Police to go to the assistance of a local farmer who's trusty Collie whilst out gathering sheep had run over the edge of a craggy outcrop on the side of Ullswater.The dog ended up in the water closely followed by the farmer going to the dogs aid, the dog had managed to sit on a small ledge at water level and the farmer swam ashore and made his way to Patterdale, albeit wet and very shaken and with the  assistance of a local resident managed to contact the Police.The Team launched it's Rigid Inflatable Boat"" Patrick Scotty  "" and quickly located the stricken canine, cold and wet but unharmed and then reunited both dog and owner.If you need the assistance of any Mountain Rescue Team then please dial 999 ask for the Police then Mountain Rescue.The Rescue lasted 90 minutes and was attended by seven members."
Family reported missing on Helvellyn,2013-12-29,Helvellyn,NY 34169 15162,As incident 71 was drawing to a close Cumbria Police received a 999 call reporting a family of three overdue on Helvellyn. As the team were responding to the request for assistance from the Police the missing people turned up safe and well.
Married couple fall from Helvellyn Ridge,2013-12-29,Swirral Edge,NY 34219 15535,"On Sunday 29th December, at about 1530 a male walker fell approximately 130 metres from Swirral Edge, Helvellyn in to Brown Cove.  A passer-by who witnessed the fall called 999 and whilst he was talking to the Police he saw a woman fall from the same place on the ridge; apparently falling much further than the man. The information available to the Team was sketchy because this initial 999 call came through on the emergency network and the mountain rescue team were therefore unable to call the informant back.  A little while later the Police received a second 999 call from the woman who had fallen; she had been trying to reach her husband who was the first casualty. At the time of the incident a number Team members had just finished training and made their way by Landrover to Kepple Cove and then on foot to the scene of the incident.  A RAF Sea King helicopter from RAF Boulmer in Northumberland was dispatched and the Great North Air Ambulance was requested. The Air Ambulance flew overhead but was unable to assist due to darkness. Thirteen members of Patterdale Mountain Rescue Team were assisted by a member of Calder Valley MRT, three members of the RAF mountain rescue service and a member of Kendal MRT. The male casualty was winched into the Sea King helicopter whilst team members assessed and secured the second casualty.  The aircraft was then able to return and evacuate the second casualty before both were flown to Cumberland Infirmary Carlisle for further treatment."
Sheep Rescued from Heron Pike,2013-10-05,Heron Pike,NY 37420 17793,Patterdale MRT assisted a local farmer to recover a Ewe which had become cragfast on Heron Pike. Five Patterdale and one Kendal team member were involved for 3.5 hours. The sheep was safely recovered and went along its way.
Couple lost in the mist on Great Dodd,2013-10-12,Great Dodd,NY 34828 21081,"At 1545 Cumbria Police requested the assistance of Patterdale MRT to locate a couple who had become disorientated in low cloud in the area of Great Dodd. Initially their location was unknown and a search dog, handler and second team member were tasked to locate them. Subsequently the team were able to identify where the missing people were by using the SARLOC system which locates missing people by using smartphone technology.They were located by team members and escorted safely from the fell. Five Team members were involved for three hours."
Severe weather hampers efforts to rescue twelve teenagers,2013-10-27,"Falcon Crag, Grizedale",NY 35364 12783,"At approximately 1400 on Sunday 27th October Patterdale Mountain Rescue Team was called by Cumbria Police to rescue a 16-year-old girl who was reported as unconscious. The girl was part of a group of six teenagers who were undertaking a four-day expedition and passing through the upper Grizedale valley near Patterdale.Mike Blakey, Team Leader said: ‘the police received a 999 call shortly before 1300 from a passing walker who came across the group of teenagers. We were unable to call the informant back to get an update on the casualty’s condition or location because the original call had been received as a roaming emergency call.’‘The team had just finished training in worsening weather conditions when the call came through for assistance. Given the nature of the incident we immediately requested assistance from the Great North Air Ambulance. However the winds were too strong for the helicopter and it was forced to turn back. We therefore requested assistance from the Air Rescue Coordination Centre, in Kinloss, and a Sea King helicopter (Rescue 122) from RAF Valley in Anglesey was mobilised.’‘Given the nature of the incident we called for the assistance of Penrith Mountain Rescue Team and five members of the Royal Air Force Mountain Rescue Service who made their way on foot with Patterdale Team members to the scene of the incident.’‘An hour after the initial call the first rescue team members arrived on scene and assessed the girl. 50 minutes later Rescue 122 airlifted the girl and another from the group who was mildly hypothermic. Both were flown directly to hospital in Barrow in Furness and were discharged later in the evening. The helicopter was operating at its limit in the extremely strong gusting winds and the aircrew demonstrated their exceptional skill in assisting with the rapid evacuation of the girls.’ ‘During the rescue several team members described extremely strong gusts of wind which physically picked them up and threw them to the ground. One Patterdale team member suffered chest injuries. A second teenager from the original group was blown over and suffered minor head injuries. Both were assessed by the Team’s doctor.’‘Whilst the rescue teams were descending to the valley they came across a second organised group of six teenage girls and leader who requested our assistance. All ten teenagers were taken back to our rescue base and given dry clothing, warm drinks and blankets.’‘Patterdale Mountain Rescue Team cannot stress enough the importance of checking weather forecasts before venturing into the mountains. Routes should be amended based on the information available and conditions on the ground. In this instance the weather forecasts had been clear about the strength of the wind and the heavy rain forecast and so this incident, and subsequent injuries to team members may well have been avoidable.’‘We would like to thank Penrith Mountain Rescue Team, the Royal Air Force and the Great North Air Ambul"
Overdue Walker,2013-11-11,Aira Force,NY 39800 20600,At approximately 1800hrs Patterdale MRT were called by Cumbria Police to begin searching for an overdue walker in the area of Aira Force. Due to the nature of the incident PMRT requested the assistance of SARDA who mobilised 7 search dogs and handlers. As the search started the overdue walker was located close to Dalemain by a team member attending the search. The walker was brought to the location of the search and reunited with his family. The incident was attended by 14 members of PMRT and 7 members of SARDA.
Woman Rescued From above Glennridding,2013-11-20,"Path above Westside, Glennridding",NY 38226 16483,"Patterdale Mountain Rescue Team were called just after 7pm by Cumbria Police to assist a woman in her 50s.  The woman, from the north, had fallen whilst walking near Lanty's Tarn above Glenridding and injured her right leg and lower back.  After treating her at the scene the team carried her down to their waiting landrover ambulances for the short drive back to their rescue centre.  Once there she was transferred to an NHS ambulance and taken to the Cumberland Infirmary Carlisle.11 team members were involved in the rescue which took 2 hours."
Man suffers fracture dislocation to his ankle on Hallin Fell,2013-10-29,Hallin Fell,NY 43614 19442,"At 1230 on Tuesday 29th October Patterdale Mountain Rescue Team were called by the North West Ambulance Service to assist a man who had fallen and fracture dislocated his ankle. At the time of the callout some members of the Team were assisting the North West Police Diving unit with the production of a television documentary on Ullswater. The team and police were recreating the search for a man who was reported missing in 2012 and has not yet been found. Those team members who were on the lake at the time proceeded directly and were joined by other members on scene a few minutes later.The team administered pain relief to the man, who was in severe pain, and then transported him by stretcher to a waiting ambulance at the Hause, above Howtown. The Team doctor then reduced the man's fractured ankle and he was transfered to hospital in Carlisle. Fifteen team members were involved in the rescue for over two hours (4 hours if you include putting all the equipment away and doing the paperwork!)"
Three Runners Rescued within Three Hours  (Part 1),2013-11-03,Silver Point,NY 39640 18296,"At 11am on Sunday 3rd November Patterdale Mountain Rescue team were called to assist a 33 year old male from Manchester who had injured his ankle whilst taking part in the Lakeland Trails Event, in the Ullswater valley.  The man had slipped whilst running on the Howtown to Patterdale lake shore path so the team launched their boat, ‘Patrick Scotty’, to access the casualty’s location. The man was treated at the scene, stretchered down the fell and transferred across the lake to a waiting ambulance.Whilst the Team were dealing with the first incident a 35 year old woman from Oswestry slipped approximately 3km away on the same footpath and fractured her wrist. After calling for help the woman made her own way to a farmhouse where she was met and treated by a Team member and shortly afterwards transferred to hospital by ambulance. The casualty’s running partner was picked up by the Team in their rescue boat and transported back to Glenridding.Just as the Team were about to head back to base for a cup of tea a third callout was received for a 55 year old man from North Yorkshire who had fallen, again on the same path, injuring his knee and sustaining cuts and bruises to his face. He was treated by the Team and stretchered off the mountain to a waiting Team Landrover. The man was then transferred to Patterdale MRT base where he was met by his family before onward transfer to hospital.Sixteen Team members were involved for over five hours."
Three Runners Rescued within Three Hours (Part 2),2013-11-03,Sandwick,NY 41525 19220,"At 11am on Sunday 3rd November Patterdale Mountain Rescue team were called to assist a 33 year old male from Manchester who had injured his ankle whilst taking part in the Lakeland Trails Event, in the Ullswater valley.  The man had slipped whilst running on the Howtown to Patterdale lake shore path so the team launched their boat, ‘Patrick Scotty’, to access the casualty’s location. The man was treated at the scene, stretchered down the fell and transferred across the lake to a waiting ambulance.Whilst the Team were dealing with the first incident a 35 year old woman from Oswestry slipped approximately 3km away on the same footpath and fractured her wrist. After calling for help the woman made her own way to a farmhouse where she was met and treated by a Team member and shortly afterwards transferred to hospital by ambulance. The casualty’s running partner was picked up by the Team in their rescue boat and transported back to Glenridding.Just as the Team were about to head back to base for a cup of tea a third callout was received for a 55 year old man from North Yorkshire who had fallen, again on the same path, injuring his knee and sustaining cuts and bruises to his face. He was treated by the Team and stretchered off the mountain to a waiting Team Landrover. The man was then transferred to Patterdale MRT base where he was met by his family before onward transfer to hospital.Sixteen Team members were involved for over five hours."
Three Runners Rescued within Three Hours (Part 3),2013-11-03,Above Blowick Bay,NY 39742 17603,"At 11am on Sunday 3rd November Patterdale Mountain Rescue team were called to assist a 33 year old male from Manchester who had injured his ankle whilst taking part in the Lakeland Trails Event, in the Ullswater valley.  The man had slipped whilst running on the Howtown to Patterdale lake shore path so the team launched their boat, ‘Patrick Scotty’, to access the casualty’s location. The man was treated at the scene, stretchered down the fell and transferred across the lake to a waiting ambulance.Whilst the Team were dealing with the first incident a 35 year old woman from Oswestry slipped approximately 3km away on the same footpath and fractured her wrist. After calling for help the woman made her own way to a farmhouse where she was met and treated by a Team member and shortly afterwards transferred to hospital by ambulance. The casualty’s running partner was picked up by the Team in their rescue boat and transported back to Glenridding.Just as the Team were about to head back to base for a cup of tea a third callout was received for a 55 year old man from North Yorkshire who had fallen, again on the same path, injuring his knee and sustaining cuts and bruises to his face. He was treated by the Team and stretchered off the mountain to a waiting Team Landrover. The man was then transferred to Patterdale MRT base where he was met by his family before onward transfer to hospital.Sixteen Team members were involved for over five hours."
Walker Delayed on Helvellyn,2013-12-26,Helvellyn,NY 34169 15162,At approximately 1600 Patterdale MRT were called by a worried relative who was reporting that her son was late back from a walk on Helvellyn. Whilst the team were gathering information the man turned up safe and well.
Walker with broken ankle spends the longest night on mountain,2013-12-21,Gowk Hill,NY 44701 16941,"At approximately 0900 on Saturday 21st December a hill-walker knocked on the door of a farmhouse just above Howtown, Ullswater, to report that his friend was laying injured on the mountain side.Seventeen hours earlier the man’s friend had fallen over fracturing his ankle. With darkness not far away, and with no mobile phone signal, the men chose to find shelter and spend the night on the mountain. They found a derelict building and set about making themselves as comfortable as possible to sit out the longest night of the year - without a doubt a very long night given the storm that pursued. At first light on Saturday morning the man’s friend descended to the valley to raise the alarm.At approximately 0915 the 999 call to the Police was relayed to Patterdale Mountain Rescue Team and a short while later fifteen team members and three Landrover ambulances were on their way. The Great North Air Ambulance attempted to assist but the atrocious weather prevented the helicopter from getting anywhere near. Team members therefore ascended the mountain with the help of the farmer who transported a stretcher and medical equipment as far as his quad bike would go.When the team arrived at the man’s location he was sheltering under a nylon sheet. He had poor circulation in his foot and the team treated him for severe pain and placed him a warm casualty bag. The team then carried him for about 90 minutes to a waiting Landrover, which had driven through a river to reach him. He was then transported to hospital in an Ambulance.The rescue lasted four and a half hours. Patterdale Mountain Rescue Team would like to thank the farmers for assisting them with the rescue today. Given the conditions their help was very much appreciated."
Search for Missing Person High Street Area,2013-08-14,High Street,NY 44099 11299,"At approximately 1945 Patterdale MRT were tasked to assist Penrith MRT with a search for a man missing in the High Street area. Whilst this search was starting a second person was reported missing. Both walkers turned up safe and well, but not where they should have been!"
Flashing Lights Seen on Fell,2013-08-15,Silver Crag,NY 39609 18028,Shortly after 10pm the Police contacted the Team with reports of flashing lights seen on fell above Silver Crag.  By the time the informant was interviewed the ligths had gone and a search from the road revealed no sign of anyone on the hill.  In the absence of anyone reported missing or overdue the incident was closed. 
15 Year Old Falls From Tree,2013-08-26,"Cherry holme Island, Lake Ullswater",NY 17115 39335,"At approximately 1500hrs Patterdale MRT were called to assist HM Coastguard / North West Ambulance Service to evacuate a 15yr old male who had fallen from a tree while on Cherry Holme Island on lake Ullswater. The male was treated on scene for a suspected fractured arm by the Team Doctor and then evacuated using the Team's rigid rescue boat ""Patrick Scotty"" to the waiting ambulance for transfer to the Cumberland Infirmary at Carlisle. The rescue was attended by 10 members and lasted approximately 2hrs."
16 year old suspected fractured ankle while Ghyll Scrambling,2013-08-31,Freeze Beck Boredale Head,NY 41300 15800,"At approximately 12.50 hours Patterdale Mountain Rescue Team was called to the aid of a 16 year old with a suspected fractured ankle.The girl was ghyll scrambling with an organised party when the accident happened.Upon arrival at scene the team assessed the injury, gave pain relief and splinted the ankle before stretchering her off the fell to the waiting team land rover ambulance. The team then transported the casualty to Pooley Bridge for transfer to a county ambulance and onward journey to hospital.The rescue involved nine team members and took three hours to complete."
Man reported missing on Gowbarrow Fell,2013-09-03,Gowbarrow Park above Lyulph's Tower ,NY 40571 20626,A contractor working on the water supply on the fells above Lyulph's Tower with a digger was reported missing when he failed to arrive on site.  The Team were called by Cumbria Police but stood down almost immediately when he turned up safe and well.
Broken Ankle on Red Screes,2013-09-04,Red Screes above Kirkstone Pass,NY 39796 08639,"At approximately 1410 on Wednesday 4th September Patterdale MRT were called to assist a 22 year old woman from Leeds who had fallen and broken her ankle on Red Screes, above the Kirkstone Pass Inn. The team assessed her on scene, administered pain relief then carried her down to a waiting ambulance.14 team members were involved for approximately two hours."
Woman assisted from the fell,2013-09-08,Path above Kepple Cove,NY 34991 16647,"The Team were called by the Police to reports of 57 year old woman from Stockport who has suffered an epileptic fit on the zig-zag path above Kepple Cover.  She had been walking with a group when the fit occured and had initially been assisted by a passing doctor.  When team members arrived at the scene she was still not fully recovered and so was stretchered down to a waiting team landrover. She was driven back to Ogilvie House, the Team's rescue centre, where a further assessment was conducted by ambulance paramedics before she rejoined her party for the journey back to Manchester."
Two walkers separated on Loadpot Hill,2013-09-12,"Loadpot Hill, above Howtown",NY 45627 19172,"At around 1700 on Thursday 12th September, Patterdale MRT were called to assist two walkers from Rochdale who had become separated in low cloud on Loadpot Hill. One walker was located by team members ascending to Loadpot Hill and the second walker was located near to the summit by one of the Team's two search dogs.Nine team members were involved for approximately five hours."
Woman with ankle injury on High Street,2013-09-18,High Street,NY 43894 10624,"At 1437 on Wednesday 18th September Patterdale MRT were called to assist a 45 year old woman who had fallen and injured her ankle. Patterdale MRT, Penrith MRT and the Great North East Air Ambulance were all mobilised to attend the incident given the remote location. Whilst the two mountain rescue teams were assembling the Air Ambulance managed to reach the scene and evacuate the casualty to hospital in Carlisle."
Twisted Knee,2013-09-20,Nic Head above Glencoyne,NY 36600 18410,Patterdale Mountain Rescue Team were called today by police to assist a 17 yearr old girl from Cheshire who had injured her knee after becoming stuck in mud near Sheffield Pike.  Her friends put her into a sleeping bag and tent to keep her warm while waiting for the Team to arrive.The casualty’s leg was splinted and she was put on to a stretcher and lowered down the fell to a waiting team ambulance.  After transfer back to the Team’s rescue base for re-assessment she was released to travel to Cumberland Infirmary Carlisle in the care of her group.   The rescue took 3.5 hours and involved 14 team members
Couple unable to continue their walk due to exhaustion,2013-09-29,Angle Tarn Beck,NY 40706 14048,At approximately 19:52 on Sunday 29th September Patterdale MRT were called to assist a couple who were unable to continue their walk. The team located the missing pair who were tired but uninjured and assisted them back to Patterdale MRT base. 
"Man Falls 100ft from Auterstone Crag, Barton Fell",2013-09-30,"Auterstone Crag, above Sharrow Bay",NY 45920 21200,At 1732hrs on Monday 30th September Patterdale MRT were called to assist NWAS with the rescue and evacuation of a 26 year old man who had fallen approximately 100 feet from Auterstone Crag and down towards the path on the Ullswater side of Barton Fell. The Casualty was treated on scene for head injuries before being lowered off the fell and transported by team vehicle to the air ambulance.  The casualty was air lifted to Cumberland Infirmary Carlisle shortly after 1900hrs for further assessment. The Team worked closely with the NWAS and Penrith MRT. A total of 15 Members of the Patterdale MRT were involved.
Fatal Fall From Striding Edge,2013-10-04,"Striding Edge, Helvellyn",NY 34806 14721,"At some time between 3 and 4pm on Friday 4th October a 24 year old man fell approximately 200m from Striding Edge and into Nethermost Cove.  His companion descended to assist him and finding him unconscious and without a mobile phone signal he continued his descent into Grisedale where he met a local farmer who gave him a lift down to Patterdale where he raised the alarm.Patterdale Mountain Rescue Team were alerted by the Police at 16:25 and given the nature and location of the report immediately requested the assistance of both the Great North Air Ambulance and an RAF SeaKing.  Inspite of low cloud the Air Ambulance was able to drop its paramedic crew and shuttle 8 team members up towards Striding Edge. A search was commenced and Penrith Mountain Rescue Team and Search & Rescue Dogs were requested to mobilise and assist with locating the injured man.  By the time that the RAF SeaKing arrived on scene at about 17:35 the cloud base had lifted sufficiently for them to assist and the helicopter crew located the casualty from the air.  Team members on foot made there way to his location over steep loose ground but sadly he had sustained fatal injuries.  The team doctor diagnosed death and his body was lowered in a stretcher to the waiting aircraft which had landed in Nethermost Cove. The RAF then evacuated the casualty to Carlisle, escorted by a Team member.Mike Blakey, Patterdale MRT Leader said: 'This is a tragic incident involving the loss of a young life. Our thoughts are with young man's walking companion, friends and family at this difficult time. At this time I would also like to extend our thanks to the RAF, Air Ambulance , Penrith Mountain Rescue Team and SARDA (Lakes) dogs and handlers for their rapid assistance in this rescue.'The rescue involved sixteen PMRT members for over four hours."
Group lost on Helvellyn,2013-05-05,The Summit Shelter on Helvellyn,NY 34142 15204,"At 1730 on Sunday 5th May, Patterdale Mountain Rescue Team was called to assist four walkers who reported themselves lost on the summit of Helvellyn. A passing mountain biker kindly guided the walkers from the summit shelter to Thirlmere whilst the team were searching for the missing group."
Man Suffers Serious Knee Injury on Lake Shore Path,2013-05-11,"Long Crag, UIlswater",NY 40491 19082,"At 1400 on Saturday 10th May, Patterdale Mountain Rescue Team were called by Cumbria Police to assist a 59 year old man from Redcar who had slipped and seriously dislocated his knee. He was walking with friends on the lake shore path between Howtown and Patterdale. The team located the man and administered first aid before placing him on a stretcher and lowering him 70 metres to the lake shore. He was transported by the Team’s rescue boat to a waiting Landrover and then taken to the Rescue centre before onward transfer by land ambulance to hospital.12 team members were involved in the rescue for 3 hours.  "
Male walker suffers serious ankle injury,2013-05-17,Middle Dodd Fell,NY 39962 10184,"Just before 1600 hours on Friday 17th May, Patterdale Mountain Rescue Team were called by Cumbria Police to assist a 65 year old man from Wolverhampton who had slipped and seriously injured his ankle. He was walking with a group of friends in the Ullswater area.The team placed the man onto a stretcher and lowered him 300m down steep and rugged terrain to the roadside where he was transported by a team ambulance back to base. He was then transfered to a land ambulance and taken to Carlisle hospital.12 team members were involved in the rescue which lasted for 3 hours."
Members of several MRT's assist Patterdale & Keswick Rescue Teams,2013-05-28,Helvellyn Summit Plateau,NY 33799 15349,"At approximately 1400 on Tuesday 27th May, Keswick and Patterdale Mountain Rescue Teams were called by Cumbria Police to assist a woman who had injured a leg muscle near to the summit of Helvellyn.Team members from Patterdale MRT ascended via Brown Cove to the East of Helvellyn whilst members of Keswick MRT ascended the West flanks. The teams met near to the summit and treated the casualty. An RAF Sea King helicopter, from RAF Boulmer, assisted with the transportation of some team members and kit and the evacuation of the casualty. The rescue lasted approximately 4 hours and involved ten members of Patterdale MRT. At the time of the incident rescue team members from across the Lakes were completing the 4th day of a rope rescue course at Aira Force. Eight members of the following rescue teams therefore ably assisted or waited patiently to help: Langdale & Ambleside, Cockermouth, Kendal, Keswick, Kirkby Stephen and Wasdale. The mountain guide and course instructor, all the way from British Columbia, also assisted. "
Missing 6 year old,2013-05-31,Lake Shore Path Near Side Farm,NY 39619 16875,The Team were contacted by Police after a 6 year old boy was reported missing by his mother.  The family had been walking the Lake Shore path from Howetown to Patterdale and the boy had run on ahead.  On arriving at Side Farm his mother was concerned that he was not there.  The boy turned up within 10 minutes before the Team had time to assemble.
Head Injury Lake Shore Path,2013-06-15,Lake Shore Path beneath Birkfell,NY 40072 18678,"At approximately 1530hrs Patterdale MRT were called by North West Ambulance Service to assist with a casualty with suspected head injuries on the Lake Shore path beneath Birkfell. The Team were deployed using their rigid inflatable boat ""Pattrick Scotty"" to the location. The casualty was treated on scene before being transported back across the Lake with her companion, to St Pattricks landing for onward travel to Cumberland Infirmary, Carlisle.The callout was attended by 11 members."
2 lost on Caudale Moor,2013-06-15,Caudale Moor,NY 41310 10056,"On Saturday 15 June 2013 at 19.45 Patterdale Mountain Rescue Team were called by the Police to go to the assistance of two people lost in low cloud and stormy weather on Caudale Moor, the team responded and three of its members located the couple cold, wet and hungry but otherwise in good spirits. Once they had recieved adequate sustinance and given extra clothing they were walked off the fell.The incident lasted three houirs and was Patterdale Mountain Rescue teams second job of the day."
64 Year Old Man Falls From Path,2013-06-18,Aira force riverside path,NY 39973 21053,"At approximately 1120hrs Patterdale MRT were called by North West Ambulance Service to assist with a casualty with suspected fall related injuries close to Aira force beck path above Aira force waterfalls. The Team located the casualty and assisted the Ambulance service Paramedics at the scene; due to the location of the incident the team hoisted the casualty on their stretcher to safer ground and the waiting county ambulance, for onward travel to Cumberland Infirmary, Carlisle.The callout was attended by 11  members and took two hours to complete."
RAF rescue helicopter assists team whilst on joint training,2013-06-22,"Swirral Edge, Helvellyn",NY 34100 15300,"At approximately 4.00pm on Saturday 22nd June Patterdale Mountain Rescue Team received a call from Cumbria Police to assist a man who had fallen approximately 100 metres from Swirral Edge, Helvellyn. At the time of the callout 17 team members were on a training exercise with an RAF Seaking rescue helicopter from RAF Boulmer. Six members immediately redeployed to Red Tarn via helicopter, with emergency first aid and rope rescue equipment, and then made their way onto Swirral Edge to locate the injured man. The helicopter carried out an initial search of the area but due to low cloud was unable to spot the casualty location. Further members of the rescue team ascended to Swirral Edge on foot with additional equipment and assisted those already on scene whilst the helicopter refuelled.  At the time of the incident, the man’s friends could not see him due to low cloud and believed him to be unconscious. The team found the casualty at the head of Brown Cove below Water Crag. He was conscious and was suffering from an injured shoulder and cuts and bruises.  Due to the distance he had fallen the team placed him in a neck collar and full body vacuum splint. He was airlifted from the mountain by the RAF Seaking helicopter, which returned to assist the team, and then flown to Cumberland Infirmary, Carlisle, for further treatment. The rest of the casualty’s friends walked safely off the mountain with the team.  Given the quick response and assistance of the Royal Air Force this rescue was completed in less than three hours."
Sheep Rescued From Crag,2013-06-24,"Thrang Crag, Martindale",NY 43366 17476,At the request of the local farmer 7 team members retrieved a lamb which had become cragfast on Thrang Crag.
Search for missing 12 year  old,2013-06-26,"Armathwaite, Coombs Wood",NY 51278 44840,"At about 15:15 the Team were called by Penrith MRT and asked to assist with a search for a missing 12 year old boy near Armathwaite.  All 3 team landrovers were dispatched with swiftwater rescue equipment and a total of 15 personel.  Patterdale team members  searched for several hours along with members of Penrith and Kirkby Stephen Teams and 9 Lake District Search Dogs, before being stood down when the boy was found safe and well.   "
Fell Runner with suspected fractured ankle,2013-06-30,Patterdale Playing Fields,NY 39107 15972,During the Patterdale Country Fair fellrace a competitor suffered a suspected fractured ankle. The Team transferred the casualty to the Base for treatment before travelling to Lancaster A&E Department for further assessment.
Dog walker fractures ankle,2013-07-05,Grisedale Valley,NY 35500 12900,Patterdale Mountain Rescue Team rescued a  60yr old man from Preston who had been out walking with his dogs near Grisdale Tarn when he fell fracturing his ankle.  A group of walkers who were near by went to help and called the emergency services.The Air ambulance landed close to the scene but due to the terrain could not get near the casualty site. The medics from the air ambulance treated the man at the scene The  rescue team transferred him to a rescue stretcher and the team lowered the casualty  down  a steep grassy slope  to the waiting  Air ambulance and flown to Cumberland infirmary for further treatment.His dogs were walked off the fell by the people who raised the alarm and were reunited with the casualty’s wife at the teams rescue base.The rescue was attended by 11 Patterdale Mountain Rescue volunteers and lasted 4 hours.
Leg Injury On Lake Shore Path,2013-07-06,Ullswater Lake Shore Path 800m SW of Sandwick,NY 41641 19152,The Team were contacted by Cumbria Police to come to the aid of a man in his early twenties who had sustained a serious cut just below his left knee whilest walking with friends on the path above Ullswater.  13 team member responded to the callout and launched the Teams rescue boat from Glenridding Pier. After a short search of the lake shore in falling light the man and his friends were located about 800m southwest of Sandwick.  The man was assessed and his wound was dressed and bandaged before he was stretchered down a steep bank to the waiting boat.  He was then transported along to Howtown where he was transfered to a county ambulance.  The rescue took 3.5 hours.
Reports of a Survival Bag on Headwall of Helvellyn,2013-07-08,Helvellyn,NY 34326 15220,"Just before midday on Monday 8th July, Patterdale MRT were called to investigate reports of an orange survival bag on the face of Helvellyn. Two team members ascended to the site and discovered that it was, indeed, just an empty bag. Callout with good intent. The bag was recovered...Three team members were involved for 3.5 hours."
Man picked up by team landrover after suffening painful back,2013-07-15,Grizedale,NY 35800 13800,"At 1515 on Monday 15th July, Patterdale MRT were called to assist a man who had suffered a back injury whilst walking in Grisedale. The team drove to the man's location, assessed his condition, and then drove him back to the rescue centre. The incident was over within 90 minutes and involved 10 team members."
Teenager with Chest Pain Rescued From The Fells,2013-07-18,Threshthwaite Cove,NY 42600 10600,At 10:27 on Thursday 18th July Patterdale Mountain Rescue Team was called to assist a 14 year old girl who was suffering from chest pains. The Team requested the assistance of the Great North Air Ambulance which flew to within 300 metres of the casualty's location. Once the casualty had been assessed she was helped by the Team to the helicopter and flown to Patterdale's rescue centre. She was then transferred to a land ambulance and taken to Carlisle Infirmary. Twelve team members attended the incident. An RAF seaking helicopter was also scrambled and stood down en-route. 
Man Collapses on Striding Edge,2013-07-21,Striding Edge,NY 34561 14984,"At approximately midday on Sunday 21st July, Patterdale MRT were called to assist a man who had collapsed on Striding Edge. The Great North Air Ambulance dropped a medic and paramedic on Helvellyn summit and then quickly flew team members to the scene. Sadly the man was pronounced dead on scene having suffered a suspected heart attack. The team's thoughts are with his friends and family."
Fell walker with chest pain,2013-07-25,Above Lingy Crag SW of Angle Tarn,NY 41258 14066,"The Police contacted the Team after receiving a call from a 50 year old solo walker complaining of chest pains who was on the fells south west of Angle Tarn.  In view of the reported symptons assistance was immediately requested from the Great North Air Ambulance.The helicopter dropped its doctor and paramedic at the scene and proceded to airlift 9 team members onto the fell above the casualty site.  The man was assessed, treated and then carried by stretcher up to the waiting air ambulance for evacuation to hospital.The rescue took two and a half hours and involved 14 team members."
Assist NW Ambulance Service with casulty evacuation,2013-07-27,Greenside Youth Hostel,NY 36612 17390,At 0830am Patterdale MRT were called to assist the Ambulance Service with a casulaty evacuation at Greenside Youth Hostel. The casulaty was transferred from the scene using the Teams stretcher. The callout was attended by 9 team members and completed within 2hrs.
Party of 8 lost,2013-08-04,Helvellyn,NY 33900 14800,Both Patterdale and Keswick MRT were contacted by the Police after a party of 8 people including 4 children reported themselves lost on Helvellyn in cloud and heavy rain. After a discussion with the party by mobile phone it was established that they had ascended from Swirls car park at the north end of Thirlmere.  The team were placed on standby and a search dog and handler set off for the summit of Helvellyn via Swirral Edge in case a full scale search became necessary.  Afer about an hour and a half the party were located close to Brown Cover Crags on the West flank of Helvellyn by members of Keswick MRT.
